CompanyID,CompanyName,Industry,Region,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption
4,Company_4,Technology,Africa,2015,5036.7,21.2,23192.4,,54.2,97.6,46.2,18.9,130146.6,78087.9,260293.2
4,Company_4,Technology,Africa,2016,5192.5,25.1,25137.8,3.1,54.6,98.9,45.2,19.9,131888.8,79133.3,263777.6
4,Company_4,Technology,Africa,2017,5497.1,23.4,33251.0,5.9,55.9,100.0,47.4,20.4,137428.2,82456.9,274856.3
4,Company_4,Technology,Africa,2018,5978.5,26.1,31801.0,8.8,55.6,99.7,46.3,20.7,150000.0,90000.0,300000.0
4,Company_4,Technology,Africa,2019,6529.4,28.2,42706.4,9.2,56.0,100.0,46.1,21.8,163234.8,97940.9,326469.6
4,Company_4,Technology,Africa,2020,6123.5,30.6,38574.1,-6.2,58.4,100.0,50.9,24.4,153087.8,91852.7,306175.6
4,Company_4,Technology,Africa,2021,5784.3,29.4,37578.6,-5.5,60.0,100.0,55.1,24.8,144607.6,86764.6,289215.2
4,Company_4,Technology,Africa,2022,5711.3,26.1,35339.1,-1.3,60.5,100.0,58.9,22.5,142781.6,85669.0,285563.2
4,Company_4,Technology,Africa,2023,5844.2,26.5,34781.6,2.3,62.6,100.0,64.1,23.8,146104.4,87662.6,292208.7
4,Company_4,Technology,Africa,2024,6555.1,26.0,45451.6,12.2,63.5,100.0,64.8,25.6,163877.9,98326.7,327755.8
4,Company_4,Technology,Africa,2025,7675.6,22.9,42400.4,17.1,64.1,100.0,65.4,27.0,191891.1,115134.7,383782.3
2,Company_2,Retail,Asia,2015,2934.8,-2.9,1803.1,,59.9,61.1,48.6,69.8,226554.2,113277.1,453108.3
2,Company_2,Retail,Asia,2016,3140.3,-1.1,13885.2,7.0,60.6,61.1,50.1,70.5,242555.1,121277.6,485110.3
2,Company_2,Retail,Asia,2017,3463.1,-2.2,5283.7,10.3,61.7,61.4,53.1,70.5,266651.3,133325.7,533302.7
2,Company_2,Retail,Asia,2018,2939.7,-1.7,4408.0,-15.1,61.5,61.7,52.0,70.6,225701.3,112850.6,451402.6
